Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
,,,You have lost the connection to the experience,Die Verbindung zur Experience wurde unterbrochen,You have lost the connection to the experience,Se perdió la conexión con la experiencia,Se perdió la conexión con la experiencia,Tu as perdu la connection avec l'expérience,Koneksi ke pengalaman virtual terputus,Sei stato disconnesso dall'esperienza,バーチャル空間への接続が失われました。,체험 연결이 끊어졌습니다,Você perdeu a conexão com a experiência,Você perdeu a conexão com a experiência,Прервано подключение,คุณสูญเสียการเชื่อมต่อกับประสบการณ์,你已中断与作品的连接,與體驗的連線中斷,你已中断与作品的连接,Połączenie z projektem zostało utracone,Bạn đã mất kết nối với trải nghiệm,Deneyimle olan bağlantını kaybettin,لقد فقدت الاتصال بالتجربة
,,,You have no notifications,Du hast keine Benachrichtigungen.,You have no notifications,No tienes notificaciones,No tienes notificaciones,Vous n'avez aucune notification,Tidak ada notifikasi,Non hai notifiche,お知らせはありません,알림이 없어요,Você não possui notificações,Você não possui notificações,Уведомлений нет,คุณไม่มีการแจ้งเตือนใดๆ,你没有通知,您沒有通知,你没有通知,Nie masz żadnych powiadomień,Bạn không có thông báo,Hiç bildirimin yok,ليس لديك أي إشعارات
,,,You must wait {RBX_NUMBER} second before sending another message!,"Du musst {RBX_NUMBER} Sekunde lang warten, bevor du eine weitere Nachricht senden kannst!",You must wait {RBX_NUMBER} second before sending another message!,¡Debes esperar {RBX_NUMBER} segundo antes de enviar otro mensaje!,¡Debes esperar {RBX_NUMBER} segundo antes de enviar otro mensaje!,Vous devez attendre {RBX_NUMBER} seconde avant d'envoyer un autre message !,Kamu harus menunggu {RBX_NUMBER} detik sebelum mengirim pesan lain.,Devi aspettare {RBX_NUMBER} secondo prima di inviare un altro messaggio!,{RBX_NUMBER} 秒待ってから次のメッセージを送ってください!,추가 메시지를 보내기 전에 {RBX_NUMBER}초 동안 기다려야 해요!,Você precisa esperar {RBX_NUMBER} segundo antes de enviar outra mensagem!,Você precisa esperar {RBX_NUMBER} segundo antes de enviar outra mensagem!,Ты сможешь отправить новое сообщение только через {RBX_NUMBER} с,คุณจำเป็นต้องรอเป็นเวลา {RBX_NUMBER} วินาทีก่อนที่จะส่งข้อความอื่นต่อ!,发送另一条消息前你必须等待 {RBX_NUMBER} 秒！,請在 {RBX_NUMBER} 秒後再傳送新的訊息。,发送另一条消息前你必须等待 {RBX_NUMBER} 秒！,Musisz odczekać {RBX_NUMBER} s przed wysłaniem kolejnej wiadomości!,Bạn phải đợi {RBX_NUMBER} giây trước khi có thể gửi một tin nhắn khác!,Başka bir mesaj göndermeden önce {RBX_NUMBER} saniye beklemen gerekiyor!,يتعيّن عليك الانتظار {RBX_NUMBER} ثانية قبل إرسال رسالة أخرى!
,,,You need {RBX_NUMBER} more {RBX_NAME} to buy this item.,"Du benötigst noch {RBX_NUMBER} weitere {RBX_NAME}, um diesen Artikel zu kaufen.",You need {RBX_NUMBER} more {RBX_NAME} to buy this item.,Necesitas {RBX_NUMBER} {RBX_NAME} más para comprar este objeto.,Necesitas {RBX_NUMBER} {RBX_NAME} más para comprar este objeto.,Vous avez besoin de {RBX_NUMBER} {RBX_NAME} de plus pour acheter cet objet.,Kamu perlu {RBX_NUMBER} lagi {RBX_NAME} untuk membeli item ini.,Hai bisogno di {RBX_NUMBER} {RBX_NAME} in più per comprare questo oggetto.,このアイテムを買うにはあと {RBX_NUMBER} の {RBX_NAME} が必要です。,이 아이템을 구매하려면 {RBX_NAME}(이)가 {RBX_NUMBER}개 더 필요해요.,Você precisa de mais {RBX_NUMBER} {RBX_NAME} para comprar este item.,Você precisa de mais {RBX_NUMBER} {RBX_NAME} para comprar este item.,Для покупки этого товара требуется на {RBX_NUMBER} больше {RBX_NAME}.,คุณต้องการเพิ่มอีก {RBX_NUMBER} {RBX_NAME} เพื่อซื้อไอเท็มนี้,你还需要 {RBX_NUMBER} 个 “{RBX_NAME}” 才能购买此物品。,您還需要 {RBX_NUMBER} {RBX_NAME} 才能購買此道具。,你还需要 {RBX_NUMBER} 个 “{RBX_NAME}” 才能购买此物品。,Do zakupu tego przedmiotu potrzebne są {RBX_NAME} (jeszcze {RBX_NUMBER}).,Bạn cần thêm {RBX_NUMBER} {RBX_NAME} để mua vật phẩm này.,Bu öğeyi satın almak için {RBX_NUMBER} {RBX_NAME} daha gerekiyor.,تحتاج إلى {RBX_NUMBER} إضافية من {RBX_NAME} لشراء هذا العنصر.
,,,You were kicked from '{RBX_NAME}',Du wurdest aus „{RBX_NAME}“ gekickt.,You were kicked from '{RBX_NAME}',"Se te expulsó de ""{RBX_NAME}"".","Se te expulsó de ""{RBX_NAME}"".",Vous avez été expulsé de {RBX_NAME},Kamu telah dikeluarkan dari {RBX_NAME},"Sei stato rimosso da ""{RBX_NAME}""",あなたは 「{RBX_NAME}」から外されました。,'{RBX_NAME}'에서 강제 퇴장되었습니다.,Você foi expulso(a) de '{RBX_NAME}',Você foi expulso(a) de '{RBX_NAME}',Тебя исключили из «{RBX_NAME}».,"คุณถูกบังคับให้ออกจาก ""{RBX_NAME}""",“{RBX_NAME}”已将你踢出,您已被踢出「{RBX_NAME}」,“{RBX_NAME}”已将你踢出,Wyrzucono cię z: „{RBX_NAME}”,"Bạn đã bị văng ra khỏi ""{RBX_NAME}""",Şuradan atıldın: {RBX_NAME},طردك '{RBX_NAME}'
,,,You were kicked from '{RBX_NAME}' for the following reason(s): {RBX_NAME},Du wurdest aus folgenden Gründen aus „{RBX_NAME}“ gekickt: {RBX_NAME},You were kicked from '{RBX_NAME}' for the following reason(s): {RBX_NAME},"Se te expulsó de ""{RBX_NAME}"" por las razones siguientes: {RBX_NAME}","Se te expulsó de ""{RBX_NAME}"" por las razones siguientes: {RBX_NAME}",Tu as été exclu de {RBX_NAME} pour la/les raison(s) suivante(s) : {RBX_NAME},Kamu telah dikeluarkan dari {RBX_NAME} karena alasan berikut: {RBX_NAME},"Sei stato rimosso da ""{RBX_NAME}"" per le seguenti motivazioni: {RBX_NAME}",あなたは 「{RBX_NAME}」から次の理由により外されました: {RBX_NAME},'{RBX_NAME}'에서 강제 퇴장되었습니다. 퇴장 이유: {RBX_NAME},Você foi expulso(a) de '{RBX_NAME}‘. Motivo(s): {RBX_NAME},Você foi expulso(a) de '{RBX_NAME}‘. Motivo(s): {RBX_NAME},Тебя исключили из «{RBX_NAME}» по следующим причинам: {RBX_NAME},"คุณถูกบังคับให้ออกจาก ""{RBX_NAME}"" เนื่องจากสาเหตุต่อไปนี้: {RBX_NAME}",“{RBX_NAME}”已将你踢出，原因为：{RBX_NAME},您因下列原因被踢出「{RBX_NAME}」：{RBX_NAME},“{RBX_NAME}”已将你踢出，原因为：{RBX_NAME},Wyrzucono cię z: „{RBX_NAME}”. Powód: {RBX_NAME},"Bạn đã bị văng ra khỏi ""{RBX_NAME}"" vì (các) lý do sau: {RBX_NAME}",{RBX_NAME} nedeniyle şuradan atıldın: {RBX_NAME},تم طردك من '{RBX_NAME}' للأسباب التالية: {RBX_NAME}
,,,YouTube Video,YouTube-Video,YouTube Video,Vídeo de YouTube,Vídeo de YouTube,Vidéo YouTube,Video YouTube,Video su YouTube,YouTube ビデオ,YouTube 동영상,Vídeo do YouTube,Vídeo do YouTube,Видео YouTube,วิดีโอ YouTube,Youtube 视频,YouTube 影片,Youtube 视频,Film w serwisie YouTube,Video trên YouTube,YouTube Videosu,فيديو YouTube
,,,Your account balance will not be affected by this transaction.,Das Kontostand wird durch diese Transaktion nicht beeinflusst.,Your account balance will not be affected by this transaction.,Esta transacción no modificará el saldo de tu cuenta.,Esta transacción no modificará el saldo de tu cuenta.,Le solde de votre compte ne sera pas affecté par cette transaction.,Saldo akun kamu tidak akan terpengaruh oleh transaksi ini.,I fondi del tuo account non verranno intaccati da questa transazione.,この取引であなたのアカウントは変化しません。,본 거래는 계정 잔액에 영향을 주지 않아요.,O saldo da sua conta não será afetado por esta transação.,O saldo da sua conta não será afetado por esta transação.,После этой операции средства со счёта списаны не будут.,ยอดคงเหลือในบัญชีของคุณจะไม่ได้รับผลกระทบจากธุรกรรมนี้,你的帐户余额将不会收到此次交易的影响。,您的帳號餘額不受此交易影響。,你的帐户余额将不会收到此次交易的影响。,Ta transakcja nie wpłynie na saldo twojego konta.,Số dư tài khoản của bạn sẽ không bị ảnh hưởng bởi giao dịch này.,Hesap bakiyen bu işlemden etkilenmeyecek.,لن يتأثر رصيد حسابك بهذه المعاملة.
,,,Your balance after this transaction will be R${RBX_NUMBER},Nach dieser Transaktion wird dein Kontostand {RBX_NUMBER} R$ betragen.,Your balance after this transaction will be R${RBX_NUMBER},Tu saldo después de esta transacción será de {RBX_NUMBER} R$.,Tu saldo después de esta transacción será de {RBX_NUMBER} R$.,Votre solde après cette transaction sera de {RBX_NUMBER} R$,"Setelah transaksi ini, saldo kamu akan menjadi R${RBX_NUMBER}","Dopo la transazione, avrai R${RBX_NUMBER}",この取引の後の残高は R${RBX_NUMBER}です,본 거래 후 예상 잔액은 R${RBX_NUMBER}입니다.,Seu saldo depois desta transação será de R${RBX_NUMBER},Seu saldo depois desta transação será de R${RBX_NUMBER},После этой операции баланс составит R${RBX_NUMBER},หลังการทำธุรกรรมนี้คุณจะมียอดคงเหลือ R${RBX_NUMBER},此次交易后，你的余额将为 R${RBX_NUMBER}。,您在此交易後的餘額將為 R${RBX_NUMBER}。,此次交易后，你的余额将为 R${RBX_NUMBER}。,Saldo po tej transakcji: {RBX_NUMBER} R$,Số dư của bạn sau giao dịch này sẽ là ${RBX_NUMBER} 罗宝,Bu işlemden sonra bakiyen ${RBX_NUMBER}R olacak,سيصير رصيدك بعد هذه المعاملة R${RBX_NUMBER}
,,,"By clicking the 'Record Video' button, the menu will close and start recording your screen.","Wenn du auf die Schaltfläche „Video aufnehmen“ klickst, schließt sich das Menü und dein Bildschirm wird aufgezeichnet.","By clicking the 'Record Video' button, the menu will close and start recording your screen.","Al hacer clic en el botón Grabar video, el menú se cerrará y se empezará a grabar tu pantalla.","Al hacer clic en el botón Grabar video, el menú se cerrará y se empezará a grabar tu pantalla.","En cliquant sur le bouton Enregistrer vidéo, le menu se fermera et l'enregistrement de votre écran débutera.","Dengan mengklik tombol Rekam Video, menu akan ditutup dan rekaman layar akan dimulai.","Clicca sul pulsante ""Registra video"" per chiudere il menu e iniziare a registrare quanto avviene sullo schermo.",「ビデオ録画」ボタンをクリックするとメニューが閉じて画面の録画が始まります。,'동영상 녹화' 버튼을 클릭하면 본 화면이 종료되고 녹화가 시작됩니다.,"Ao clicar no botão ‘Gravar vídeo’, o menu será fechado e a tela começará a ser gravada.","Ao clicar no botão ‘Gravar vídeo’, o menu será fechado e a tela começará a ser gravada.","После нажатия на кнопку «Запись видео» это меню закроется, и начнётся запись видео с экрана.","หากคลิกที่ปุ่ม ""บันทึกวิดีโอ"" เมนูจะปิดลงและจะเริ่มบันทึกหน้าจอของคุณ",点按“录制视频”按钮，目录会关闭，并开始录制你的屏幕。,按下「錄影」按鈕後，選單會關閉並開始錄下您的畫面。,点按“录制视频”按钮，目录会关闭，并开始录制你的屏幕。,Kliknięcie przycisku „Nagraj film” spowoduje zamknięcie menu i rozpoczęcie nagrywania ekranu.,"Bằng việc nhấp vào nút ""Quay Video"", trình đơn sẽ đóng và bắt đầu ghi lại màn hình của bạn.","""Video Kaydet"" düğmesine tıkladığında menü kapanır ve ekranını kaydetmeye başlar.","بالنقر على زر ""تسجيل فيديو""، ستغلق القائمة وتبدأ تسجيل الشاشة."
,,,Your party is too large to fit,Deine Party ist zu groß,Your party is too large to fit,Tu equipo es demasiado grande,Tu equipo es demasiado grande,Votre groupe comporte trop de membres.,Grup kamu terlalu besar,Il tuo gruppo è troppo grande,パーティーが大きすぎてフィットしません,파티원이 너무 많아 참가할 수 없어요,Sua equipe é muito grande,Sua equipe é muito grande,Группа слишком велика,กลุ่มของคุณใหญ่เกินไปที่จะเข้าร่วม,你的团队人数过多，无法加入,您的隊伍人數過多，無法加入,你的团队人数过多，无法加入,"Twoja ekipa jest zbyt duża, aby się zmieścić",Tổ đội của bạn quá lớn để phù hợp,"Grubun, sığmayacak kadar büyük",مجموعتك كبيرة جدًا لا يمكن استيعابها
,,,Your party is too large to fit. ({COUNT:int}),Deine Party ist zu groß. ({COUNT:int}),Your party is too large to fit. ({COUNT:int}),Tu equipo es demasiado grande. ({COUNT:int}),Tu equipo es demasiado grande. ({COUNT:int}),Votre groupe comporte trop de membres.. ({COUNT:int}),Grup kamu terlalu besar. ({COUNT:int}),Il tuo gruppo è troppo grande. ({COUNT:int}),パーティーが大きすぎてフィットしません。 ({COUNT:int}),파티원이 너무 많아 참가할 수 없어요. ({COUNT:int}),Sua equipe é muito grande ({COUNT:int}),Sua equipe é muito grande ({COUNT:int}),Группа слишком велика ({COUNT:int}),กลุ่มของคุณใหญ่เกินไปที่จะเข้าร่วม ({COUNT:int}),你的团队人数过多，无法加入 ({COUNT:int}),您的隊伍人數過多，無法加入。（{COUNT:int}）,你的团队人数过多，无法加入 ({COUNT:int}),"Twoja ekipa jest zbyt duża, aby się zmieścić. ({COUNT:int})",Tổ đội của bạn quá lớn để phù hợp. ({COUNT:int}),"Grubun, sığamayacak kadar büyük. ({COUNT:int})",مجموعتك كبيرة جدًا لا يمكن استيعابها. ({COUNT:int})
,,,Zoom In,Einzoomen,Zoom In,Acercar,Acercar,Zoom avant,Perbesar,Ingrandisci,ズームイン,확대,Aproximar zoom,Aproximar zoom,Приблизить,ซูมเข้า,放大,拉近,放大,Zbliżenie,Phóng To,Yakınlaş,تكبير
,,,Zoom In/Out,Rein-/Rauszoomen,Zoom In/Out,Acercar/alejar,Acercar/alejar,Zoom avant/arrière,Perbesar/Perkecil,Aumenta/Riduci,ズームイン/ズームアウト,확대/축소,Aprox./afastar,Aprox./afastar,Приблизить/отдалить,ซูมเข้า/ออก,放大/缩小,拉近 / 拉遠,放大/缩小,Zbliżenie/oddalenie,Phóng To/Thu Nhỏ,Yakınlaş/Uzaklaş,تكبير/تصغير
,,,Zoom Out,Rauszoomen,Zoom Out,Alejar,Alejar,Zoom arrière,Perkecil,Riduci,ズームアウト,축소,Afastar zoom,Afastar zoom,Отдалить,ซูมออก,缩小,拉遠,缩小,Oddalenie,Thu Nhỏ,Uzaklaş,تصغير
,,,update me,aktualisiere mich,update me,actualízame,actualízame,tenez-moi au courant,beri saya update,aggiornami,更新してください,업데이트 요청,atualize-me,atualize-me,обнови меня,แจ้งข่าวสารให้ฉันทราบ,向我发送更新信息,通知我,向我发送更新信息,poinformuj mnie,cập nhật cho tôi,beni güncelle,أخبرني بكل جديد
,,,"{RBX_NAME1} won {RBX_NAME2}'s ""{RBX_NAME3}"" award!",{RBX_NAME1} wurde von {RBX_NAME2} die Auszeichnung „{RBX_NAME3}“ verliehen!,"{RBX_NAME1} won {RBX_NAME2}'s ""{RBX_NAME3}"" award!","¡{RBX_NAME1} ganó el galardón ""{RBX_NAME3}"" de {RBX_NAME2}!","¡{RBX_NAME1} ganó el galardón ""{RBX_NAME3}"" de {RBX_NAME2}!",{RBX_NAME1} a gagné la récompense « {RBX_NAME3} » de {RBX_NAME2} !,"{RBX_NAME1} memenangkan lencana ""{RBX_NAME3}"" {RBX_NAME2}.","{RBX_NAME1} ha vinto il premio ""{RBX_NAME3}"" di {RBX_NAME2}!",{RBX_NAME1} さんが {RBX_NAME2} の「{RBX_NAME3}」を獲得！,"{RBX_NAME1}(이)가 {RBX_NAME3}의 ""{RBX_NAME2}"" 상을 획득했어요!","{RBX_NAME1} ganhou o prêmio ""{RBX_NAME3}“ de {RBX_NAME2}!","{RBX_NAME1} ganhou o prêmio ""{RBX_NAME3}“ de {RBX_NAME2}!",{RBX_NAME1} получает награду {RBX_NAME2} «{RBX_NAME3}»!,"{RBX_NAME1} ได้รับ ""{RBX_NAME3}"" จาก {RBX_NAME2} เป็นรางวัล!",{RBX_NAME1}赢得了{RBX_NAME2}的“{RBX_NAME3}”奖！,{RBX_NAME1} 贏得 {RBX_NAME2} 的「{RBX_NAME3}」獎！,{RBX_NAME1}赢得了{RBX_NAME2}的“{RBX_NAME3}”奖！,{RBX_NAME1} wygrywa nagrodę użytkownika {RBX_NAME2} w projekcie „{RBX_NAME3}”!,"{RBX_NAME1} đã thắng giải thưởng ""{RBX_NAME3}"" của {RBX_NAME2}!","{RBX_NAME1}, {RBX_NAME2} adlı yaratıcının ""{RBX_NAME3}"" ödülünü kazandı!",حصل {RBX_NAME1} على وسام {RBX_NAME3} من {RBX_NAME2}.
,,,{RBX_NAME} was kicked,{RBX_NAME} wurde gekickt,{RBX_NAME} was kicked,Se expulsó a {RBX_NAME}.,Se expulsó a {RBX_NAME}.,{RBX_NAME} a été expulsé,{RBX_NAME} dikeluarkan,{RBX_NAME} è stato rimosso,{RBX_NAME} は外されました。,{RBX_NAME} 님이 강제 퇴장되었습니다.,{RBX_NAME} foi expulso(a),{RBX_NAME} foi expulso(a),Пользователь {RBX_NAME} исключён,{RBX_NAME} ถูกบังคับให้ออก,“{RBX_NAME}”被踢出,{RBX_NAME} 已被踢出,“{RBX_NAME}”被踢出,Użytkownik {RBX_NAME} został wyrzucony,{RBX_NAME} đã bị văng ra,{RBX_NAME} atıldı,تم طرد {RBX_NAME}
,,,{RBX_NAME} was kicked for the following reason(s): {RBX_NAME},{RBX_NAME} wurde aus folgenden Gründen gekickt: {RBX_NAME},{RBX_NAME} was kicked for the following reason(s): {RBX_NAME},Se expulsó a {RBX_NAME} por las razones siguientes: {RBX_NAME},Se expulsó a {RBX_NAME} por las razones siguientes: {RBX_NAME},{RBX_NAME} a été exclu pour la/les raison(s) suivante(s) : {RBX_NAME},{RBX_NAME} telah dikeluarkan karena alasan berikut: {RBX_NAME},{RBX_NAME} è stato rimosso per le seguenti motivazioni: {RBX_NAME},{RBX_NAME} は次の理由により外されました: {RBX_NAME},{RBX_NAME} 님이 강제 퇴장되었습니다. 퇴장 이유: {RBX_NAME},{RBX_NAME} foi expulso(a). Motivo(s): {RBX_NAME},{RBX_NAME} foi expulso(a). Motivo(s): {RBX_NAME},Пользователь {RBX_NAME} исключён по следующим причинам: {RBX_NAME},{RBX_NAME} ถูกบังคับให้ออกเนื่องจากสาเหตุต่อไปนี้: {RBX_NAME},已将“{RBX_NAME}”踢出，原因为：{RBX_NAME},{RBX_NAME} 因下列原因被踢出：{RBX_NAME},已将“{RBX_NAME}”踢出，原因为：{RBX_NAME},Użytkownik {RBX_NAME} został wyrzucony. Powód: {RBX_NAME},{RBX_NAME} đã bị văng ra vì (các) lý do sau: {RBX_NAME},{RBX_NAME} şu nedenlerden dolayı atıldı: {RBX_NAME},تم طرد {RBX_NAME} للأسباب التالية: {RBX_NAME}
,,,{RBX_NAME} was muted for the following reason(s): {RBX_NAME},{RBX_NAME} wurde aus folgenden Gründen stummgeschaltet: {RBX_NAME},{RBX_NAME} was muted for the following reason(s): {RBX_NAME},Se silenció a {RBX_NAME} por las razones siguientes: {RBX_NAME},Se silenció a {RBX_NAME} por las razones siguientes: {RBX_NAME},{RBX_NAME} a été mis.e en sourdine pour la/les raison(s) suivante(s) : {RBX_NAME},{RBX_NAME} telah dibisukan karena alasan berikut: {RBX_NAME},{RBX_NAME} non ha più la parola per le seguenti motivazioni: {RBX_NAME},{RBX_NAME} は次の理由によりミュートされました: {RBX_NAME},{RBX_NAME} 님이 음소거되었어요. 음소거 이유: {RBX_NAME},{RBX_NAME} foi silenciado(a). Motivo(s): {RBX_NAME},{RBX_NAME} foi silenciado(a). Motivo(s): {RBX_NAME},Пользователь {RBX_NAME} добавлен в список игнорируемых по следующим причинам: {RBX_NAME},{RBX_NAME} ถูกปิดเสียงเนื่องจากสาเหตุต่อไปนี้: {RBX_NAME},“{RBX_NAME}”被禁言的原因为：{RBX_NAME},{RBX_NAME} 因下列原因被靜音：{RBX_NAME},“{RBX_NAME}”被禁言的原因为：{RBX_NAME},Użytkownik {RBX_NAME} został wyciszony. Powód: {RBX_NAME},{RBX_NAME} đã bị tắt tiếng vì (các) lý do sau: {RBX_NAME},{RBX_NAME} şu nedenlerden ötürü sessize alındı: {RBX_NAME},تم كتم {RBX_NAME} للأسباب التالية: {RBX_NAME}
,,,"By clicking the 'Take Screenshot' button, the menu will close and take a screenshot and save it to your computer.","Wenn du auf die Schaltfläche „Screenshot machen“ klickst, schließt sich das Menü und ein Screenshot wird auf deinem Computer gespeichert.","By clicking the 'Take Screenshot' button, the menu will close and take a screenshot and save it to your computer.","Al hacer clic en el botón Tomar captura de pantalla, el menú se cerrará y se hará una captura de pantalla que se guardará en tu equipo.","Al hacer clic en el botón Tomar captura de pantalla, el menú se cerrará y se hará una captura de pantalla que se guardará en tu equipo.","En cliquant sur le bouton Capture d'écran, le menu se fermera et une capture d'écran sera sauvegardée dans votre ordinateur.","Dengan mengklik tombol Ambil Tangkapan Layar, menu akan ditutup dan tangkapan layar akan dimulai lalu disimpan di komputer kamu.","Clicca sul pulsante ""Cattura screenshot"" per chiudere il menu, catturare uno screenshot e salvarlo sul computer.",「スクショを撮る」ボタンをクリックするとメニューが閉じてスクリーンショットがパソコンに保存されます。,'스크린샷 찍기' 버튼을 클릭하면 본 화면 종료 후 스크린샷을 찍어 컴퓨터에 저장합니다.,"Ao clicar no botão ‘Captura de tela’, o menu será fechado e a tela será capturada e salva no seu computador.","Ao clicar no botão ‘Captura de tela’, o menu será fechado e a tela será capturada e salva no seu computador.","После нажатия на кнопку «Сделать снимок экрана» это меню закроется, и снимок сохранится на компьютере.","หากคลิกที่ปุ่ม ""ถ่ายภาพหน้าจอ"" เมนูจะปิดลงและทำการถ่ายภาพหน้าจอ แล้วบันทึกภาพนั้นในคอมพิวเตอร์ของคุณ",点按“截取屏幕快照”按钮，目录会关闭，截取屏幕快照并保存至你的电脑。,按下「截圖」按鈕，選單會關閉並截圖儲存到您的電腦。,点按“截取屏幕快照”按钮，目录会关闭，截取屏幕快照并保存至你的电脑。,"Kliknięcie przycisku „Zrób zrzut ekranu” spowoduje zamknięcie menu, wykonanie zrzutu ekranu i zapisanie go na komputerze.","Bằng việc nhấp vào nút ""Chụp Ảnh Màn Hình"", trình đơn sẽ đóng và chụp ảnh chụp màn hình, rồi lưu ảnh vào máy tính của bạn.","""Ekran Görüntüsü Al"" düğmesine tıkladığında menü kapanır ve ekran görüntüsü alıp bilgisayarına kaydeder.","بالنقر على زر ""التقاط لقطة الشاشة""، ستغلق القائمة وتأخذ لقطة عن الشاشة وتحفظها على جهاز الكمبيوتر."
,,,Waiting for an available server,Warte auf verfügbaren Server,Waiting for an available server,Esperando un servidor disponible,Esperando un servidor disponible,En attente d'un serveur disponible,Menunggu server yang tersedia,In attesa di un server disponibile,使用可能なサーバを待機中,이용 가능한 서버를 기다리는 중,Aguardando um servidor disponível,Aguardando um servidor disponível,Ожидание доступного сервера,กำลังรอเซิร์ฟเวอร์ที่พร้อมใช้งาน,正在等待可用服务器,等待可用伺服器,正在等待可用服务器,Oczekiwanie na dostępny serwer,Chờ một máy chủ khả dụng,Kullanılabilir bir sunucu bekleniyor,في انتظار خادم متاح
,,,"Server found, loading...","Server gefunden, wird geladen ...","Server found, loading...",Servidor encontrado. Cargando...,Servidor encontrado. Cargando...,"Serveur trouvé, chargement en cours...","Server ditemukan, loading...","Server trovato, caricamento...",サーバが見つかりました。読み込み中です...,"서버를 찾았습니다, 불러오는 중...","Servidor encontrado, carregando...","Servidor encontrado, carregando...",Сервер найден. Загрузка...,พบเซิร์ฟเวอร์แล้ว กำลังโหลด...,找到服务器，正在加载...,找到伺服器，正在載入……,找到服务器，正在加载...,"Znaleziono serwer, wczytywanie...","Đã tìm thấy máy chủ, đang tải...","Sunucu bulundu, yükleniyor...",تم العثور على خادم، تحميل...
,,,Reset Character,Charakter zurücksetzen,Reset Character,Reiniciar personaje,Reiniciar personaje,Réinitialiser le personnage,Reset Karakter,Azzera personaggio,キャラクターをリセット,캐릭터 재설정,Reiniciar,Reiniciar,Сброс персонажа,รีเซ็ตตัวละคร,重置人物,重設角色,重置人物,Zresetuj postać,Đặt Lại Nhân Vật,Karakteri Sıfırla,إعادة ضبط الشخصية
,,,Dynamic Thumbstick,Dynamischer Thumbstick,Dynamic Thumbstick,Pulsador dinámico,Pulsador dinámico,Joystick dynamique,Thumbstick Dinamis,Pattina dinamica,動的サムスティック,다이내믹 엄지스틱,Direcional analógico dinâmico,Direcional analógico dinâmico,Динамический джойстик,ทัมบ์สติกแบบไดนามิก,动态摇杆,動態類比搖桿,动态摇杆,Drążek dynamiczny,Cần Điều Khiển Động,Dinamik Kontrol Çubuğu,Dynamic Thumbstick
,,,Joining server,Verbindung zum Server wird hergestellt,Joining server,Uniéndose a un servidor,Uniéndose a un servidor,Connexion au serveur...,Bergabung ke server,Connessione al server,サーバーに接続中,서버 입장 중,Entrando no servidor,Entrando no servidor,Подключение к серверу,กำลังเข้าร่วมเซิร์ฟเวอร์,正在加入服务器,正在加入伺服器,正在加入服务器,Dołączanie do serwera,Đang kết nối máy chủ,Sunucuya katılıyor,الانضمام إلى الخادم
,,,Sent,Gesendet,Sent,Enviado,Enviado,Envoyé,Terkirim,Inviato,送付済み,보냄,Enviado,Enviado,Отправленные,ส่งแล้ว,已发送,已傳送,已发送,Wysłano,Đã Gửi,Gönderildi,أرسلت
,,,CPU,CPU,CPU,CPU,CPU,UCT,CPU,CPU,CPU,CPU,CPU,CPU,Процессор,CPU,CPU,中央處理器,CPU,Procesor,CPU,İŞLEMCİ,CPU
,,,Camera Inverted,Kamera invertiert,Camera Inverted,Cámara invertida,Cámara invertida,Caméra inversée,Kamera Terbalik,Macchina fotografica invertita,カメラの反転,카메라 반전,Câmera invertida,Câmera invertida,Инвертированная камера,กลับด้านกล้อง,镜头反转,相機反轉,镜头反转,Kamera odwrócona,Camera Bị Đảo Ngược,Kamera Ters Çevrilmiş,الكاميرا المعكوسة
,,,A Http error has occured. Please close the client and try again.. ({COUNT:int}),Ein HTTP-Fehler ist aufgetreten. Schließe den Client und versuche es erneut.. ({COUNT:int}),A Http error has occured. Please close the client and try again.. ({COUNT:int}),Error en el http. Cierra el cliente e inténtalo de nuevo.. ({COUNT:int}),Error en el http. Cierra el cliente e inténtalo de nuevo.. ({COUNT:int}),"Une erreur HTTP s'est produite. Veuillez fermer le client, puis réessayez.. ({COUNT:int})",Terjadi eror Http. Tutup aplikasi lalu coba lagi.. ({COUNT:int}),Si è verificato un errore http. Chiudi il client e riprova.. ({COUNT:int}),HTTPエラーが発生しました。クライアントを閉じて、もう一度試してください。 ({COUNT:int}),Http 오류가 발생했어요. 클라이언트를 닫고 다시 시도하세요. ({COUNT:int}),Erro no http. Feche o cliente e tente novamente. ({COUNT:int}),Erro no http. Feche o cliente e tente novamente. ({COUNT:int}),Произошла ошибка Http. Закрой клиент и попробуй снова. ({COUNT:int}),เกิดข้อผิดพลาดกับ Http โปรดปิดไคลเอ็นต์แล้วลองอีกครั้ง ({COUNT:int}),发生 Http 错误。请关闭客户端并重试。 ({COUNT:int}),發生 HTTP 錯誤，請關閉用戶端並重新嘗試。（{COUNT:int}）,发生 Http 错误。请关闭客户端并重试。 ({COUNT:int}),Wystąpił błąd HTTP. Zamknij klienta i spróbuj ponownie. ({COUNT:int}),Đã xảy ra lỗi Http. Vui lòng đóng máy khách và thử lại. ({COUNT:int}),Bir Http hatası oluştu. Lütfen istemciyi kapatıp tekrar dene... ({COUNT:int}),لقد حدث خطأ في Http. الرجاء إغلاق التطبيق والمحاولة مرة أخرى..({COUNT:int})
